Number,Motif_number_OSCAR,SMILES,SMARTS
1,na,C12=CC=CC=C1C=CC=C2C3=C(C=CC=C4)C4=CC=C3,
2,na,C1(C(C2=C(CCCC3)C3=CC=C2)=CC=C4)=C4CCCC1,
3,na,C1(CCC23C4=C(CC3)C=CC=C4)=C2C=CC=C1,
4,na,OCC1OCOC1CO,
5,na,C12=CC=C(C3=CC4=CC=CC=C4C=C3)C=C1C=CC=C2,
6,na,C(C1)C2CCN1CC2,
7,1,C1N([H])CCC1,
8,2,[H]N1CCNC1,
9,3,N([H])C(N([H]))=O,
10,4,N([H])C(N([H]))=S,
11,5,O=C1C(N([H]))=C(N([H]))C1=O,
12,6,S=C1C(N([H]))=C(N([H]))C1=S,
13,7,O=C1C(N([H]))=C1N([H]),
14,10,O=S(N([H]))(N([H]))=O,
15,11,[C]1NN=CN1,
16,12,[C]1NN=CS1,
17,13,C1=CN[C]N1,
18,14,C1CN[C]N1,
19,15,C1=CN[C]S1,
20,16,[C]1NN=NN1,
21,22,C1=CC=CC(O2)=C1C3=CC=CC=C3OP2(O([H]))=O,
22,23,C1=CC=CC(O2)=C1C3=CC=CC=C3OP2(O([H]))=S,
23,26,NP1(OC2=C(C3=C(O1)C=CC=C3)C=CC=C2)=O,
24,27,S=P1(N([H])S(=O)(C(F)(F)F)=O)OC2=C(C3=C(C=CC=C4)C4=CC=C3O1)C5=C(C=CC=C5)C=C2,
25,54,P=N,
26,58,C1=[N+]([O-])C=CC=C1,
27,64,O=P(N)(N)N,
28,na,,c1cc2c(cc1)c3c(cc2)o[p]oc4c3c5c(cc4)cccc5
29,na,CP(C)C,
30,na,NCC1OCOC1CO,
31,na,NCC1OCOC1CN,
32,na,NCC1OCOC1CS,
33,na,OCC1OCOC1CS,
34,na,N([H])C(N([H]))=N,
35,na,CN(C)C1=CC=NC=C1,
36,na,N12CCSC1=NCC2,
37,na,C1CSCN1[H],
38,na,N12CCN(CC2)CC1,
39,na,NC(C(c1ccccc1)N)c1ccccc1,
