,organocats,match substructures?
0,c1(c(cc(c2ccccc12)c1ccccc1)O)c1c2ccccc2c(cc1O)c1ccccc1,True
1,c1cc2ccccc2c(c2c(C(=O)O)ccc3ccccc23)c1C(=O)O,True
2,Oc1c(n2cncc2)cc2ccccc2c1c1c(O)c(n2cncc2)cc2c1cccc2,True
3,Oc1ccc2c(n3cncc3)cccc2c1c1c2c(ccc1O)c(n1ccnc1)ccc2,True
4,Oc1ccc2c(ccc(c2)n2ccnc2)c1c1c(O)ccc2c1ccc(n1cncc1)c2,True
5,c1c2ccccc2c(c2c3c(cc([Si](CC)(CC)C=C)c2O)cccc3)c(c1[Si](CC)(CC)C=C)O,True
6,OC(=O)c1c(O)c(c2ccccc2c1)c1c(O)c(cc2ccccc12)C(=O)O,True
7,Oc1c(c2c(O)c(cc3c2cccc3)CCOC)c2ccccc2cc1CCOC,True
8,OC(=O)[C@@H]1OC2(CCCC2)O[C@H]1C(=O)O,True
9,OC(=O)[C@@H]1OC2(CCCCC2)O[C@H]1C(=O)O,True
10,Fc1ccc(cc1)C(O)(c1ccc(cc1)F)[C@@H]1OC2(O[C@H]1C(O)(c1ccc(F)cc1)c1ccc(F)cc1)CCCCC2,True
11,Brc1cc2ccc(O)c(c2cc1)c1c(O)ccc2cc(Br)ccc12,True
12,c1(c2c(cccc2)cc2ccccc12)c1cc2c(cccc2)c(c2c3c(cc(c4c5ccccc5cc5c4cccc5)c2O)cccc3)c1O,True
13,c1(c(cc2ccccc2c1c1c(c(cc2ccccc12)C(=O)NO)O)C(=O)NO)O,True
14,Oc1c(c2nc3ccccc3cc2)cc2c(cccc2)c1c1c2ccccc2ccc1O,True
15,OC(C)([C@@H]1OC(C)(O[C@H]1C(C)(O)C)C)C,True
16,c1(c(c(cc2ccccc12)P(=O)(c1ccccc1)c1ccccc1)O)c1c(c(cc2ccccc12)P(=O)(c1ccccc1)c1ccccc1)O,True
17,P(c1c([C@@H](/N=C/c2cc3ccccc3c(c2O)c2c(O)c(cc3c2cccc3)/C=N/[C@@H](C)c2ccccc2P(c2ccccc2)c2ccccc2)C)cccc1)(c1ccccc1)c1ccccc1,True
18,C1(C)(C)O[C@H]([C@H]([C@@H](O)CC)O1)[C@H](CC)O,True
19,O(c1cc2c3-c4c([C@@H](O)[C@H](O)c3ccc2cc1)ccc1c4cc(OC)cc1)C,True
20,Brc1ccc(O)c2c1C[C@@H]1[C@]32[C@H](CCC1)Cc1c3c(O)ccc1Br,True
21,Oc1c(c2c(O)c(C3=NC(N(C)C)=NC(N(C)C)=N3)cc4c2cccc4)c5ccccc5cc1,True
22,OC([C@H]1[C@H](C(O)(c2ccc(cc2)C)c2ccc(cc2)C)OC(O1)(C)C)(c1ccc(cc1)C)c1ccc(cc1)C,True
23,OC([C@@H]1[C@@H](C(O)(c2ccc(F)cc2)c2ccc(cc2)F)OC(O1)(C)C)(c1ccc(cc1)F)c1ccc(cc1)F,True
24,Oc1cccc2c1C1(CC2(C)C)c2c(O)cccc2C(C1)(C)C,True
